[  18 / 132 ] flow_distance =   239.791454878219156 | volume_distance =   206.747197718073096 | sum_distance =   446.538652596292252 | exercise(cycle,model) = exerc_1 | exerc_5
[  18 / 132 ] flow_distance =   218.550146071182155 | volume_distance =   145.141506618127494 | sum_distance =   363.691652689309649 | exercise(cycle,model) = exerc_1 | exerc_1

[  19 / 132 ] flow_distance =   158.786947440023596 | volume_distance =     8.713185623944005 | sum_distance =   167.500133063967610 | exercise(cycle,model) = exerc_2 | exerc_4
[  19 / 132 ] flow_distance =    59.383089916350521 | volume_distance =     4.728150095440354 | sum_distance =    64.111240011790869 | exercise(cycle,model) = exerc_2 | exerc_6
[  19 / 132 ] flow_distance =   253.692508781915961 | volume_distance =    10.026278702872990 | sum_distance =   263.718787484788947 | exercise(cycle,model) = exerc_2 | exerc_3
[  19 / 132 ] flow_distance =   170.432069721438694 | volume_distance =     4.861071706661913 | sum_distance =   175.293141428100597 | exercise(cycle,model) = exerc_2 | exerc_7
[  19 / 132 ] flow_distance =   101.978889011283869 | volume_distance =     9.886410981616478 | sum_distance =   111.865299992900347 | exercise(cycle,model) = exerc_2 | exerc_2
[  19 / 132 ] flow_distance =   193.753322608504050 | volume_distance =    12.921146358736728 | sum_distance =   206.674468967240784 | exercise(cycle,model) = exerc_2 | exerc_5
[  19 / 132 ] flow_distance =   325.101072844134592 | volume_distance =    11.981419558524266 | sum_distance =   337.082492402658886 | exercise(cycle,model) = exerc_2 | exerc_1

[  20 / 132 ] flow_distance =   222.898686744194094 | volume_distance =     7.338566314010768 | sum_distance =   230.237253058204857 | exercise(cycle,model) = exerc_2 | exerc_4
[  20 / 132 ] flow_distance =   248.366837524896766 | volume_distance =     7.751000130412808 | sum_distance =   256.117837655309586 | exercise(cycle,model) = exerc_2 | exerc_6
[  20 / 132 ] flow_distance =   338.806770313245579 | volume_distance =    13.337261245031760 | sum_distance =   352.144031558277334 | exercise(cycle,model) = exerc_2 | exerc_3
[  20 / 132 ] flow_distance =   287.654048857717100 | volume_distance =    24.277864917567399 | sum_distance =   311.931913775284499 | exercise(cycle,model) = exerc_2 | exerc_7
[  20 / 132 ] flow_distance =   248.368936539760966 | volume_distance =     2.570708412126871 | sum_distance =   250.939644951887828 | exercise(cycle,model) = exerc_2 | exerc_2
[  20 / 132 ] flow_distance =   322.369145181424187 | volume_distance =    13.488101009135210 | sum_distance =   335.857246190559408 | exercise(cycle,model) = exerc_2 | exerc_5
[  20 / 132 ] flow_distance =   307.463492751336844 | volume_distance =     5.985091886625839 | sum_distance =   313.448584637962711 | exercise(cycle,model) = exerc_2 | exerc_1

[  21 / 132 ] flow_distance =   168.931488887939821 | volume_distance =     2.705185857955056 | sum_distance =   171.636674745894879 | exercise(cycle,model) = exerc_2 | exerc_4
[  21 / 132 ] flow_distance =   279.512123713204915 | volume_distance =     3.321433770812778 | sum_distance =   282.833557484017717 | exercise(cycle,model) = exerc_2 | exerc_6
[  21 / 132 ] flow_distance =   236.221528357397716 | volume_distance =     4.672091594124677 | sum_distance =   240.893619951522396 | exercise(cycle,model) = exerc_2 | exerc_3
[  21 / 132 ] flow_distance =   265.898672966722074 | volume_distance =     6.441375202572940 | sum_distance =   272.340048169295017 | exercise(cycle,model) = exerc_2 | exerc_7
[  21 / 132 ] flow_distance =   190.072997659347436 | volume_distance =     1.270841744060857 | sum_distance =   191.343839403408282 | exercise(cycle,model) = exerc_2 | exerc_2
[  21 / 132 ] flow_distance =   305.134521662274381 | volume_distance =     4.803200670132412 | sum_distance =   309.937722332406793 | exercise(cycle,model) = exerc_2 | exerc_5
[  21 / 132 ] flow_distance =   346.539778428009527 | volume_distance =     2.633743632508494 | sum_distance =   349.173522060517996 | exercise(cycle,model) = exerc_2 | exerc_1

[  22 / 132 ] flow_distance =   160.703944456003626 | volume_distance =    19.090862372758561 | sum_distance =   179.794806828762177 | exercise(cycle,model) = exerc_2 | exerc_4
[  22 / 132 ] flow_distance =    75.675311854339299 | volume_distance =    10.779243135148151 | sum_distance =    86.454554989487448 | exercise(cycle,model) = exerc_2 | exerc_6
[  22 / 132 ] flow_distance =   229.244146353796310 | volume_distance =    23.347983041973137 | sum_distance =   252.592129395769462 | exercise(cycle,model) = exerc_2 | exerc_3
[  22 / 132 ] flow_distance =    27.548226080941216 | volume_distance =    14.044500397373714 | sum_distance =    41.592726478314930 | exercise(cycle,model) = exerc_2 | exerc_7
